Domain,Entity ID,Name,State,Unit,Device class,Last changed,Last updated
"select","select.thermostat_building","ems-esp Thermostat Building type","heavy","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"select","select.thermostat_dhw_circmode","ems-esp Thermostat dhw Circulation pump mode","own prog","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"select","select.thermostat_dhw_disinfectday","ems-esp Thermostat dhw Disinfection day","tu","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"select","select.thermostat_dhw_mode","ems-esp Thermostat dhw Operating mode","auto","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"select","select.thermostat_hc1_control","ems-esp Thermostat hc1 Control device","RC310","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"select","select.thermostat_hc1_controlmode","ems-esp Thermostat hc1 Control mode","weather compensated","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"select","select.thermostat_hc1_heatingtype","ems-esp Thermostat hc1 Heating type","radiator","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"select","select.thermostat_hc1_hpmode","ems-esp Thermostat hc1 HP Mode","heating","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"select","select.thermostat_hc1_hpoperatingmode","ems-esp Thermostat hc1 Heatpump operating mode","off","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"select","select.thermostat_hc1_mode","ems-esp Thermostat hc1 Operating mode","auto","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"select","select.thermostat_hc1_nofrostmode","ems-esp Thermostat hc1 Nofrost mode","outdoor","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"select","select.thermostat_hc1_program","ems-esp Thermostat hc1 Program","prog 1","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"select","select.thermostat_hc1_reducemode","ems-esp Thermostat hc1 Reduce mode","reduce","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"sensor","sensor.analogsensor_36","ems-esp Analog Sensors supply_voltage","12.55","V","voltage","08/09/2026, 22:30:37","08/09/2026, 22:30:37"
"sensor","sensor.analogsensor_39","ems-esp Analog Sensors core_voltage","3.33","V","voltage","08/09/2026, 22:29:48","08/09/2026, 22:29:48"
"sensor","sensor.boiler_auxelecheatnrgconsheating","ems-esp Boiler Aux elec. heater energy consumption heating","73","kWh","energy","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_auxelecheatnrgconspool","ems-esp Boiler Aux elec. heater energy consumption pool","0","kWh","energy","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_auxelecheatnrgconstotal","ems-esp Boiler Total aux elec. heater energy consumption","1552","kWh","energy","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_auxheaterlevel","ems-esp Boiler Aux heater level","0","%","power_factor","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_auxheaterstatus","ems-esp Boiler Aux heater status","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_auxheatmix","ems-esp Boiler Aux heater mixing valve","0","%","power_factor","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_burn2workmin","ems-esp Boiler Burner stage 2 operating time","0","min","duration","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_burnstarts","ems-esp Boiler Burner starts","0","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_burnworkmin","ems-esp Boiler Total burner operating time","0","min","duration","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_coolingstarts","ems-esp Boiler Cooling control starts","0","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_curburnpow","ems-esp Boiler Burner current power","0","%","power_factor","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_curflowtemp","ems-esp Boiler Current flow temperature","29.7","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_dhw_auxelecheatnrgcons","ems-esp Boiler dhw Aux elec. heater energy consumption","1474","kWh","energy","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_dhw_curflow","ems-esp Boiler dhw Current tap water flow","0","L/min","volume_flow_rate","08/09/2026, 22:29:48","08/09/2026, 22:29:48"
"sensor","sensor.boiler_dhw_curtemp","ems-esp Boiler dhw Current intern temperature","50.2","°C","temperature","08/09/2026, 22:29:48","08/09/2026, 22:29:48"
"sensor","sensor.boiler_dhw_curtemp2","ems-esp Boiler dhw Current extern temperature","43.4","°C","temperature","08/09/2026, 22:30:46","08/09/2026, 22:30:46"
"sensor","sensor.boiler_dhw_nrgconscomp","ems-esp Boiler dhw Energy consumption compressor","8319","kWh","energy","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_dhw_nrgsupp","ems-esp Boiler dhw Total energy warm supplied","25830","kWh","energy","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_dhw_settemp","ems-esp Boiler dhw Set temperature","0","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_dhw_starts","ems-esp Boiler dhw Starts","0","","","08/09/2026, 22:29:48","08/09/2026, 22:29:48"
"sensor","sensor.boiler_dhw_startshp","ems-esp Boiler dhw Starts hp","2649","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_dhw_uptimecomp","ems-esp Boiler dhw Operating time compressor","269742","min","duration","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_dhw_workm","ems-esp Boiler dhw Active time","0","min","duration","08/09/2026, 22:29:48","08/09/2026, 22:29:48"
"sensor","sensor.boiler_expvalve","ems-esp Boiler Expansion valve VR1","0","%","power_factor","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_fanspd","ems-esp Boiler Fan speed","0","%","power_factor","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_headertemp","ems-esp Boiler Low loss header","29.7","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_heatingpumpmod","ems-esp Boiler Heating pump modulation","0","%","power_factor","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_heatingstarts","ems-esp Boiler Heating control starts","5382","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_heatstarts","ems-esp Boiler Burner starts heating","0","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_heatworkmin","ems-esp Boiler Total heat operating time","0","min","duration","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_hpactivity","ems-esp Boiler Compressor activity","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_hpbrinein","ems-esp Boiler Brine in/evaporator","0","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_hpbrineout","ems-esp Boiler Brine out/condenser","0","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_hpbrinepumpspd","ems-esp Boiler Brine pump speed","0","%","power_factor","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_hpcircspd","ems-esp Boiler Circulation pump speed","10","%","power_factor","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_hpcompspd","ems-esp Boiler Compressor speed","0","%","power_factor","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_hpcurrpower","ems-esp Boiler Compressor current power","46","W","power","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_hpph1","ems-esp Boiler High pressure side temperature (PH1)","21.9","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_hppl1","ems-esp Boiler Low pressure side temperature (PL1)","22","°C","temperature","08/09/2026, 22:29:56","08/09/2026, 22:29:56"
"sensor","sensor.boiler_hppower","ems-esp Boiler Compressor power output","0","kW","power","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_hpta4","ems-esp Boiler Drain pan temp (TA4)","21.4","°C","temperature","08/09/2026, 22:31:56","08/09/2026, 22:31:56"
"sensor","sensor.boiler_hptargetspd","ems-esp Boiler Compressor target speed","0","%","power_factor","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_hptc0","ems-esp Boiler Heat carrier return (TC0)","35.3","°C","temperature","08/09/2026, 22:29:56","08/09/2026, 22:29:56"
"sensor","sensor.boiler_hptc1","ems-esp Boiler Heat carrier forward (TC1)","40.6","°C","temperature","08/09/2026, 22:31:56","08/09/2026, 22:31:56"
"sensor","sensor.boiler_hptc3","ems-esp Boiler Condenser temperature (TC3)","38.3","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_hptl2","ems-esp Boiler Air inlet temperature (TL2)","22.5","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_hptr1","ems-esp Boiler Compressor temperature (TR1)","36.6","°C","temperature","08/09/2026, 22:30:56","08/09/2026, 22:30:56"
"sensor","sensor.boiler_hptr3","ems-esp Boiler Refrigerant temperature liquid side (condenser output) (TR3)","32","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_hptr4","ems-esp Boiler Evaporator inlet temperature (TR4)","29.1","°C","temperature","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_hptr5","ems-esp Boiler Compressor inlet temperature (TR5)","32.5","°C","temperature","08/09/2026, 22:30:56","08/09/2026, 22:30:56"
"sensor","sensor.boiler_hptr6","ems-esp Boiler Compressor outlet temperature (TR6)","34.4","°C","temperature","08/09/2026, 22:29:56","08/09/2026, 22:29:56"
"sensor","sensor.boiler_hptw1","ems-esp Boiler Reservoir temp (TW1)","43.4","°C","temperature","08/09/2026, 22:30:56","08/09/2026, 22:30:56"
"sensor","sensor.boiler_lastcode","ems-esp Boiler Last error code","A01(5523) 22.08.2026 02:01 - 22.08.2026 02:05","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_nrgconscompcooling","ems-esp Boiler Energy consumption compressor cooling","0","kWh","energy","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_nrgconscompheating","ems-esp Boiler Energy consumption compressor heating","13428","kWh","energy","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_nrgconscomppool","ems-esp Boiler Energy consumption compressor pool","0","kWh","energy","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_nrgconscomptotal","ems-esp Boiler Total energy consumption compressor","21767","kWh","energy","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_nrgconstotal","ems-esp Boiler Total energy consumption","23319","kWh","energy","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_nrgsuppcooling","ems-esp Boiler Total energy supplied cooling","0","kWh","energy","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_nrgsuppheating","ems-esp Boiler Total energy supplied heating","43918","kWh","energy","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"sensor","sensor.boiler_nrgsupppool","ems-esp Boiler Total energy supplied pool","0","kWh","energy","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
