Domain,Entity ID,Name,State,Unit,Device class,Last changed,Last updated
"switch","switch.boiler_dhw_circpump","ems-esp Boiler dhw Circulation pump available","on","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"switch","switch.boiler_dhw_dhwprio","ems-esp Boiler dhw Dhw priority","off","","","08/09/2026, 22:29:48","08/09/2026, 22:29:48"
"switch","switch.boiler_dhw_disinfecting","ems-esp Boiler dhw Disinfecting","off","","","08/09/2026, 22:29:48","08/09/2026, 22:29:48"
"switch","switch.boiler_dhw_hpcircpump","ems-esp Boiler dhw Circulation pump available during dhw","on","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"switch","switch.boiler_dhw_onetime","ems-esp Boiler dhw One time charging","off","","","08/09/2026, 22:29:48","08/09/2026, 22:29:48"
"switch","switch.boiler_elheatstep1","ems-esp Boiler El. heater step 1","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"switch","switch.boiler_elheatstep2","ems-esp Boiler El. heater step 2","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"switch","switch.boiler_elheatstep3","ems-esp Boiler El. heater step 3","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"switch","switch.boiler_emergencyops","ems-esp Boiler Emergency operation","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"switch","switch.boiler_heatcable","ems-esp Boiler Heating cable","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"switch","switch.boiler_heatingactivated","ems-esp Boiler Heating activated","on","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"switch","switch.boiler_heatingoff","ems-esp Boiler Force heating off","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"switch","switch.boiler_hp3way","ems-esp Boiler 3-way valve","on","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"switch","switch.boiler_primepump","ems-esp Boiler Primary heatpump","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"switch","switch.boiler_pvcooling","ems-esp Boiler Cooling only with PV","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"switch","switch.boiler_vc0valve","ems-esp Boiler VC0 valve","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"switch","switch.boiler_vpcooling","ems-esp Boiler Valve/pump cooling","off","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"switch","switch.ems_esp_internetzugang","ems-esp Internetzugang","on","","","08/09/2026, 21:48:14","08/09/2026, 21:48:14"
"switch","switch.thermostat_damping","ems-esp Thermostat Damping outdoor temperature","off","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"switch","switch.thermostat_dhw_charge","ems-esp Thermostat dhw Charge","off","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"switch","switch.thermostat_dhw_dailyheating","ems-esp Thermostat dhw Daily heating","off","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"switch","switch.thermostat_dhw_disinfecting","ems-esp Thermostat dhw Disinfecting","off","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"switch","switch.thermostat_hc1_switchonoptimization","ems-esp Thermostat hc1 Switch-on optimization","off","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"switch","switch.thermostat_pvenabledhw","ems-esp Thermostat Enable raise dhw","on","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"switch","switch.thermostat_solar","ems-esp Thermostat Solar","off","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"text","text.boiler_hpin1opt","ems-esp Boiler Input 1 options","000000000000000","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"text","text.boiler_hpin2opt","ems-esp Boiler Input 2 options","000000000000000","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"text","text.boiler_hpin3opt","ems-esp Boiler Input 3 options","000000000000000","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"text","text.boiler_hpin4opt","ems-esp Boiler Input 4 options","001010000000","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"text","text.thermostat_datetime","ems-esp Thermostat Date/time","08.09.2026 22:31","","","08/09/2026, 22:31:57","08/09/2026, 22:31:57"
