Domain,Entity ID,Name,State,Unit,Device class,Last changed,Last updated,attr_id,attr_last_triggered,attr_mode,attr_current
"sensor","sensor.messgerat_ip","Kühlschrank-Garage IP","10.10.101.60","","","30/08/2026, 00:01:04","30/08/2026, 00:01:04","","","",""
"sensor","sensor.messgerat_last_restart_time","Kühlschrank-Garage Last Restart Time","2026-08-24T09:41:19+00:00","","timestamp","30/08/2026, 00:01:06","30/08/2026, 00:01:06","","","",""
"sensor","sensor.messgerat_mqtt_connect_count","Kühlschrank-Garage MQTT Connect Count","8","","","30/08/2026, 00:01:06","30/08/2026, 00:01:06","","","",""
"sensor","sensor.messgerat_restart_reason","Kühlschrank-Garage Restart Reason","Software/System restart","","","30/08/2026, 00:01:06","30/08/2026, 00:01:06","","","",""
"sensor","sensor.messgerat_rssi","Kühlschrank-Garage RSSI","88","%","","30/08/2026, 00:35:26","30/08/2026, 00:35:26","","","",""
"sensor","sensor.messgerat_signal","Kühlschrank-Garage Signal","-56","dBm","signal_strength","30/08/2026, 00:35:26","30/08/2026, 00:35:26","","","",""
"sensor","sensor.messgerat_ssid","Kühlschrank-Garage SSID","JOBOSOUND-WIRE","","","30/08/2026, 00:01:06","30/08/2026, 00:01:06","","","",""
"sensor","sensor.messgerat_wifi_connect_count","Kühlschrank-Garage WiFi Connect Count","3","","","30/08/2026, 00:01:06","30/08/2026, 00:01:06","","","",""
"sensor","sensor.mqtt_connect_count","MQTT Connect Count","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.mqtt_connect_count_2","MQTT Connect Count","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.mqtt_connect_count_3","MQTT Connect Count","unavailable","","","30/08/2026, 00:01:03","30/08/2026, 00:01:03","","","",""
"sensor","sensor.nas02_cpu_auslastung_benutzer","nas02 CPU-Auslastung (Benutzer)","14","%","","30/08/2026, 00:31:11","30/08/2026, 00:31:11","","","",""
"sensor","sensor.nas02_cpu_auslastung_gesamt","nas02 CPU-Auslastung (gesamt)","74","%","","30/08/2026, 00:31:11","30/08/2026, 00:31:11","","","",""
"sensor","sensor.nas02_download_durchsatz","nas02 Download-Durchsatz","331.517","kB/s","data_rate","30/08/2026, 00:31:11","30/08/2026, 00:31:11","","","",""
"sensor","sensor.nas02_drive_1_status","nas02 (Drive 1) Status","normal","","","30/08/2026, 00:01:07","30/08/2026, 00:01:07","","","",""
"sensor","sensor.nas02_drive_1_temperatur","nas02 (Drive 1) Temperatur","30","°C","temperature","30/08/2026, 00:01:07","30/08/2026, 00:01:07","","","",""
"sensor","sensor.nas02_drive_2_status","nas02 (Drive 2) Status","normal","","","30/08/2026, 00:01:07","30/08/2026, 00:01:07","","","",""
"sensor","sensor.nas02_drive_2_temperatur","nas02 (Drive 2) Temperatur","31","°C","temperature","30/08/2026, 00:01:07","30/08/2026, 00:01:07","","","",""
"sensor","sensor.nas02_drive_3_status","nas02 (Drive 3) Status","normal","","","30/08/2026, 00:01:07","30/08/2026, 00:01:07","","","",""
"sensor","sensor.nas02_drive_3_temperatur","nas02 (Drive 3) Temperatur","30","°C","temperature","30/08/2026, 00:01:07","30/08/2026, 00:01:07","","","",""
"sensor","sensor.nas02_drive_4_status","nas02 (Drive 4) Status","normal","","","30/08/2026, 00:01:07","30/08/2026, 00:01:07","","","",""
"sensor","sensor.nas02_drive_4_temperatur","nas02 (Drive 4) Temperatur","31","°C","temperature","30/08/2026, 00:01:07","30/08/2026, 00:01:07","","","",""
"sensor","sensor.nas02_durchschnittliche_cpu_auslastung_15_min","nas02 Durchschnittliche CPU-Last (15 min)","3.39","load","","30/08/2026, 00:31:11","30/08/2026, 00:31:11","","","",""
"sensor","sensor.nas02_durchschnittliche_cpu_auslastung_5_min","nas02 Durchschnittliche CPU-Last (5 min)","4.12","load","","30/08/2026, 00:31:11","30/08/2026, 00:31:11","","","",""
"sensor","sensor.nas02_speicher_gesamt_real","nas02 Speicher gesamt (real)","12396.27776","MB","data_size","30/08/2026, 00:01:07","30/08/2026, 00:01:07","","","",""
"sensor","sensor.nas02_speicher_gesamt_swap","nas02 Speicher gesamt (Swap)","9588.092928","MB","data_size","30/08/2026, 00:01:07","30/08/2026, 00:01:07","","","",""
"sensor","sensor.nas02_speicher_verfugbar_real","nas02 Speicher verfügbar (real)","162.615296","MB","data_size","30/08/2026, 00:31:11","30/08/2026, 00:31:11","","","",""
"sensor","sensor.nas02_speicher_verfugbar_swap","nas02 Speicher verfügbar (Swap)","9162.817536","MB","data_size","30/08/2026, 00:31:11","30/08/2026, 00:31:11","","","",""
"sensor","sensor.nas02_speichernutzung_real","nas02 Speichernutzung (real)","53","%","","30/08/2026, 00:01:07","30/08/2026, 00:01:07","","","",""
"sensor","sensor.nas02_temperatur","nas02 Temperatur","40","°C","temperature","30/08/2026, 00:01:07","30/08/2026, 00:01:07","","","",""
"sensor","sensor.nas02_upload_durchsatz","nas02 Upload-Durchsatz","461.446","kB/s","data_rate","30/08/2026, 00:31:11","30/08/2026, 00:31:11","","","",""
"sensor","sensor.nas02_usb_disk_1_partition_1_genutzte_partition","nas02 (USB Disk 1 Partition 1) Genutzte Partition","unavailable","%","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nas02_usb_disk_1_partition_1_genutzter_partitionsplatz","nas02 (USB Disk 1 Partition 1) Genutzter Partitionsplatz","unavailable","GiB","data_size","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
